ID,Title,Location,Salary
4ea49a486c65e92e,Ultrasound Engineer,성남 분당구,정규직
0282c5728169ac62,데이터 애널리스트 (Data Analyst),서울 영등포구,
65d17e4704beb445,네트워크 보안 담당자 채용,서울 중학동,정규직
3f942ebf840f7acd,한국통계정보원 통계 분야 직원(경력),대전 서구,정규직 +1
c04680232735292a,가상자산 트레이딩 / 시스템 개발자,서울 강남구,정규직
0fcb190721fd1d1c,LINE Messaging Anti-Abuse Data Analyst NEW,대한민국,정규직
a2cedc04f48a862d,[CJ Olivenetworks/경력] AI연구소 AI/ML 연구/개발(Data Scientist),서울 용산구,정규직
2f4a4b2eb45a293c,[Global AI]Backend engineer,서울,"연봉 100,000,000원정규직"
2b44ffe1a35dc6fb,"[R&D] 차량제어기 무선 소프트웨어 업데이트 기술 개발[연구원, 책임연구원]",대한민국,정규직
891485cc2a8e6779,인공지능 솔루션 (AI Solution) 개발,서울 서초구,정규직
62207843f8aee746,"[광고 추천] 데이터 사이언스, 머신러닝 전문가 영입",성남 판교역,정규직
f4f70ce4deecae5b,AI / Big Data 전문가 - 글로벌 전자대기업,서울,정규직
8e91aa6c93de1790,딥엑스 NPU SDK (DXNN) 개발 엔지니어,성남 분당구,"연봉 50,000,000원 - 150,000,000원정규직"
39df24bec144e783,리스크관리팀 신입/경력직원 모집,서울 을지로2가,계약직
2cc585f7bc14014c,ASUM 광고 플랫폼 개발자,서울 중구,
79fb95da6dff4025,하반기 신입(채용 연계형 인턴) 수시채용,서울 마곡동,계약직 +1
89f4196100a94fab,[뉴플랫폼기술] 클라우드 엔지니어(보안),성남 분당구,정규직
53fbfe54f327d9dc,AI Software Engineer,경기도 성남,정규직
33b56ce32901a5bc,현대백화점 H.Point팀 데이터 분석/기획 경력,서울 삼성역,정규직
781ff208e96d815c,(주)케이엠티엘 건설분야 R&D 병역특례(전문연구요원(영상관련 S/W 개발)),서울 구로구,정규직
a24cde32de04af05,"소프트웨어 개발자(팀원, 팀장)",서울 서초구,"연봉 50,000,000원 - 60,000,000원정규직"
8af26b37623864c4,8퍼센트 개발자 (신입/경력),서울 종로구,정규직
c68bb379ee58db4f,[EY한영] 세무본부 PAS 팀 IT 개발 담당 채용,서울 영등포구,
fa559e180d1bf4f9,보안관제(24x7) 담당자 (연장),성남 분당구,
303d8c644a5f2e0f,DNN 모델 개발 엔지니어,성남 분당구,"연봉 50,000,000원 - 150,000,000원정규직"
